CustomerID,SimilarCustomerID,Score
C0001,C0181,0.9829643469753961
C0001,C0192,0.9535041305694142
C0001,C0190,0.9503953394872794
C0002,C0088,0.9764068890164816
C0002,C0134,0.9463946720184241
C0002,C0106,0.9463736594511042
C0003,C0025,0.9804399773534254
C0003,C0031,0.9733680506789716
C0003,C0052,0.9687586191651847
C0004,C0165,0.970907661586851
C0004,C0153,0.9214483777482797
C0004,C0087,0.9111137479183313
C0005,C0186,0.9884948596671941
C0005,C0140,0.9880089510695753
C0005,C0146,0.9450658915313815
C0006,C0171,0.9531784721207105
C0006,C0011,0.9390052505353642
C0006,C0168,0.9379172027604062
C0007,C0146,0.9849330171639457
C0007,C0115,0.9789839666276232
C0007,C0186,0.9723725231037348
C0008,C0065,0.892147853584243
C0008,C0059,0.7860395194334052
C0008,C0160,0.7698077613027499
C0009,C0061,0.9791075049919215
C0009,C0198,0.9594425561301161
C0009,C0062,0.9239737736032363
C0010,C0111,0.9842424289476103
C0010,C0062,0.9557780164339036
C0010,C0198,0.8906915452173549
C0011,C0137,0.9936141864158793
C0011,C0191,0.9774425159284134
C0011,C0118,0.9627873213554262
C0012,C0163,0.9777708930606823
C0012,C0113,0.9614966457495986
C0012,C0195,0.947844527603088
C0013,C0099,0.9881745905413405
C0013,C0108,0.9409738062153299
C0013,C0107,0.865278191638058
C0014,C0060,0.9526912508303435
C0014,C0166,0.8594154296081794
C0014,C0097,0.8350502639462867
C0015,C0131,0.9703437675822334
C0015,C0185,0.9005552583687698
C0015,C0125,0.8956541535755839
C0016,C0042,0.939746200567519
C0016,C0183,0.9167770578493257
C0016,C0067,0.8793539949260681
C0017,C0075,0.9795045023309646
C0017,C0041,0.9357977389943553
C0017,C0057,0.9237106015905238
C0018,C0117,0.9282785588623468
C0018,C0122,0.9072488950841936
C0018,C0046,0.9064306451377685
C0019,C0081,0.9478056594925095
C0019,C0070,0.8626689730467145
C0019,C0073,0.8371742305341044
C0020,C0050,0.8537135391568943
C0020,C0035,0.8506966988378972
C0020,C0026,0.8440144837758012
